Product,Strength and Form
Cutaquig,165 mg/ml solution for  injection
Cutivate,"0,005% ointment"
Cutivate,"0,05% cream"
Cyclo  3 Fort,"150 mg/150 mg/100 mg  capsules, hard"
Cyclodynon,4 mg film - coated  tablets
Cyclogest,400 mg pessaries
Cyclonamine,"500 mg capsules, hard"
Cycloplatin  200,powd. inf. 200 mg x 5
Cycloplatin  50,powd. inf. 50 mg x 10
Cyclo-Premella,tabl. coat. 1 x 28; 3 x  28
Cyclo-Progynova,tabl. coat. 1 x 21; 3 x  21
Cyclovision,"10 mg/ml eye drops,  solution"
Cyelodynon,4 mg film - coated  tablets
Cymevene,500 mg powder for  concentrate for solution for infusion
Cynarix,55 mg coated tablets
Cynarix  Forte,600 mg coated tablets
Cynarix  Liquid,oral sol x 50 ml; 100  ml; 250 ml
Cynosbati  Fructus,herbal tea - 80 g; 120  g; 150 g
Cyproterone  Acetate,tabl. 50 mg x 10; x 20;  x 30; x 50; x 100
Cyproterone-Teva,50 mg tablets
Cyprotol,tabl. 4 mg x 20
Cyprotol,"0,4 mg/ml syrup"
Cystinol  Akut,"238,7 - 297,5 mg coated  tablets"
Cytarabin  Accord,100 mg/ml solution for  injection or infusion
Cytarabine  Stada,sol. inj. 20 mg/ml - 5  ml x 10; 2 ml x 10
Cytarabine  Stada,sol. inj. 50 mg/ml - 20  ml; 80 ml x 1
Cytoblastin,1 mg/ml solution for  injection
Cytocristin,1 mg/ml solution for  injection
Cytosar,powd. inj. 1 000 mg
Cytosar,powd. inj. 100 mg +  solv. x 1
Cytosar,powd. inj. 500 mg +  solv.
Dacarbazin  Teva,200 mg powder for  solution for injection
Dacepton,10 mg/ml solution for  injection/ infusion
Dacepton,5 mg/ml solution for  infusion
Dacepton,10 mg/ml solution for  injection in cartridge
Daclyne,300 mg hard capsules
Daclyne,600 mg hard capsules
Daivobet,"50 mcg/g + 0,5 mg/g  ointment"
Daivobet,"50 mcg/g + 0,5 mg/g gel"
Daktacort,20 mg/g /10 mg/g cream
Daktarin,20 mg/g oral gel
Dalacin,2%  vaginal cream
Dalacin  C,75 mg/5 ml granules for  syrup
Dalacin  C,"150 mg capsules, hard"
Dalacin  C,150 mg/ml solution for  injection
Dalacin  C,"300 mg capsules, hard"
Dalacin  T,10 mg/ml cutaneous solution
Dalacin  V,cream vag. 2% - 40 g
Daleron,120 mg/5 ml oralsolution
Daleron,500 mg tablets
Daleron  Cold3,325 mg/30 mg/15 mg film -  coated tablets
DALMEVIN,50 mg tablets
Dalsan,10 mg film - coated  tablets
Dalsan,20 mg film - coated  tablets
Dalsan,40 mg film - coated  tablets
Daltex,50 mg/1000 mg film -  coated tablets
Daltex,50 mg/850 mg film -  coated tablets
DALVOCANS,70 mg powder for  concentrate for solution for infusion
DALVOCANS,50 mg powder for  concentrate for solution for infusion
Darizol,5 mg orodispersible  tablets
Darizol,10 mg orodispersible  tablets
Darob,160 mg tablets
Darob,80 mg tablets
Darunavir  Accord,800 mg film - coated  tablets
Darunavir  Alvogen,400 mg film - coated  tablets
Darunavir  Alvogen,600 mg film - coated  tablets
Dasatinib  Alvogen,140 mg film - coated  tablets
Dasatinib  Alvogen,20 mg film - coated tablets
Dasatinib  Alvogen,50 mg film - coated tablets
Dasatinib  Alvogen,100 mg film - coated  tablets
Dasatinib  Alvogen,80 mg film - coated  tablets
Dasatinib  Alvogen,70 mg film - coated  tablets
Dasatinib  KRKA,20 mg film - coated tablets
Dasatinib  KRKA,50 mg film - coated tablets
Dasatinib  KRKA,70 mg film - coated tablets
Dasatinib  KRKA,80 mg film - coated tablets
Dasatinib  KRKA,100 mg film - coated tablets
Dasatinib  KRKA,140 mg film - coated tablets
Dasatinib  Mylan,100 mg film-codted  tablets
Dasatinib  Mylan,50 mg film-codted  tablets
Dasatinib Pharmadvice,20 mg film-coated  tablets
Dasatinib Pharmadvice,50 mg film-coated  tablets
Dasatinib Pharmadvice,70 mg film-coated  tablets
Dasatinib Pharmadvice,80 mg film-coated  tablets
Dasatinib Pharmadvice,100 mg film-coated  tablets
Dasatinib Pharmadvice,140 mg film-coated  tablets
Dasatinib  PharOS,100 mg film - coated  tablets
Dasatinib  PharOS,140 mg film - coated  tablets
Dasatinib  PharOS,20 mg film - coated tablets
Dasatinib  PharOS,50 mg film - coated  tablets
Dasatinib  Sandoz,50 mg film - coated tablets
Dasatinib  Sandoz,20 mg film - coated tablets
Dasatinib  Sandoz,140 mg film - coated tablets
Dasatinib  Sandoz,100 mg film - coated tablets
Dasatinib  Teva,50 mg film - coated tablets
Dasatinib  Zentiva,50 mg film - coated tablets
Dasergin,5 mg film-coated tablets
Davercin,"gel 2,5% - 30 g"
Davercin,25 mg/g gel
Daxpamil,"tabl. prolonged. 1,5 mg  x 10; x 14; x 15; x 20; x 28; x 30; x 50; x 60; x 90; x 100"
Daxpamil  DUO,"4 mg/1,25 mg tablets"
Daylette,"3 mg/0,02 mg film -  coated tablets"
Dayrun,tabl. film 600 mg x 6; x  10; x 20; x 30; x 60; x 100
DC  - Bar - Milve,90 g powder for oral and  rectal suspension
DC  - Bar -DC,90 g powder for oral and  rectal suspension
Dcsloratadine  Stada,"0,5 mg/ml oral solution"
De  - Nol,120 mg film - coated  tablets
Deanxit,"0,5 mg/10 mg film -  coated tablets"
Deanxit,"0,5 mg/10 mg film -  coated tablets"
Deavit,drops - 10 ml
Deavit  Neo,"0,5 mg/ml oral drops,  solution"
Decapeptyl,"0,1 mg/ml solution for  injection"
Decapeptyl  Depot,"3,75 mg powder and  solvent for suspension for injection"
Deep Heat Spray,"cutaneous spray,  solution"
Deep  Relief,gel - 50 g
Deep  Relief,50 mg/g + 30 mg/g gel
Deexafree,"1 mg/ml eye drops,  solution in single - dose container"
Deferasirox  Pharmasceience,250 mg dispersible tablets
Deferasirox  Pharmasceience,500 mg dispersible tablets
Deferasirox  Pharmasceience,125 mg dispersible tablets
Deferasirox  Synthon,90 mg film - coated  tablets
Deferasirox  Synthon,180 mg film - coated  tablets
Deferasirox  Synthon,360 mg film - coated  tablets
Deferasirox  Teva,250 mg dispersible  tablets
Deferasirox  Teva,180 mg film - coated  tablets
Deferasirox  Teva,360 mg film - coated  tablets
Deferasirox  Zentiva,125 mg diaspersible  tablets
Deferasirox  Zentiva,250 mg diaspersible  tablets
Deferasirox  Zentiva,500 mg diaspersible  tablets
Deferasirox  Zentiva,90 mg film-coated  tablets
Deferasirox  Zentiva,180 mg film-coated  tablets
Deferasirox  Zentiva,360 mg film-coated  tablets
Definax,"200 mg capsules, hard"
Deflamol,350 IU/400 IU/g ointment
Degan,10 mg/2 ml solution for  injection
Degan,10 mg tablets
Dehydratin  Neo,25 mg tablets
Dehydrazid,25 mg tablets
Dehydrocortison,5 mg tablets
Dekenor,50 mg/2 ml solution for  injection/infusion
Dekenor,25 mg film - coated  tablets
Demephan,"3,42 mg/ml syrup"
Dentinox,"gel 150 mg/3,4 mg/3,2  mg/g"
Dentocaine,"40 mg/0,005 mg/ml  solution for injection"
Dentocaine,"40 mg/0,01 mg/ml  solution for injection"
Dentokind,tablets
Depakine,500 mg gastro - resistant  tablets
Depakine,400 mg powder and  solvent for solution for injection
Depakine,"57,64 mg/ml syrup"
Depakine  Chrono,500 mg prolonged -  release tablets
Depakine  Chrono,300 mg prolonged - release  tablets
Depo  - Medrol,40 mg/ml + 10 mg/ml  suspension for injection
Depo  - Medrol,40 mg/ml suspension for  injection
Depo-Medrol  with Lidocaine,40 mg/ ml + 10 mg/ml  suspension for injection
Depoxat,tabl. film. 20 mg x 30
Deprexor  ER,"150 mg prolonged -  release capsules, hard"
Deprexor  ER,"75 mg prolonged -  release capsules, hard"
Dercin,1 g powder for solution  for infusion
Dercin,200 mg powder for  solution
Dermazin,1 % cream
Dermocort,"cream 0,1% - 15 g"
Dermodrin  Ointment,oint. 20 mg/g - 20 g; 50  g; 100 g
Dermovate,"0,05% cream"
Dermovate,"0,05% ointment"
Desallergan,"0,5 mg/ml oral solution"
Desferal,500 mg powder for  solution
Desinobon,4 mg/5 ml concentrate  for solution for infusion
Desirett,75 micrograms film - coated  tablets
Desloratadin  Zentiva,5 mg orodispersible  tablets
Desloratadin  Zentiva,"0,5 mg/ml oral solution"
Desloratadin  Zentiva,5 mg film - coated  tablets
Desloratadinc  Stada,"0,5 mg/ml oral solution"
Desloratadine  Alvogen,"2,5 mg orodispersible"
Desloratadine  Alvogen,5 mg orodispersible
Desloratadine  Alvogen,"0,5 mg/ml oral solution"
Desloratadine  Alvogen,5 mg film-coated tabl
Desloratadine  Archie Samuel,5 mg film - coated  tablets
Desloratadine  Cipla,5 mg film - coated  tablets
Desloratadine  gsk,5 mg flim-coated tabl.
Desloratadine  Ibermedgen,"0,5 mg/ml oral solution"
Desloratadine  Ibermedgen,5 mg/ml film - coated  tablets
Desloratadine  Sopharma,"0,5 mg/ml oral solution"
Desloratadine  Sopharma,5 mg film - coated  tablets
Desloratadine  Stada,"0,5 mg/ml oral solution"
Desloratadine  Teva,"0,5 mg/ml oral solution"
Desloratadine VP,"0,5 mg/ml oral solution"
Despra,10 mg film - coated  tablets
Despra,15 mg film - coated  tablets
Despra,20 mg film - coated  tablets
Desybel,"2,5 mg/5 ml syrup"
Desybel,5 mg film - coated  tablets
Detralex,500 mg film - coated  tablets
Detrusitol,1 mg film - coated  tablets
Detrusitol,2 mg film - coated  tablets
Dettol  Med Wound Spray,"0,20% w/w cutaneous  spray, solution"
Devil`s  Claw Pharmadvise,600 mg film - coated  tablets
Dex  - Tobrin,"3 mg/ml + 1 mg/ml eye  drops, suspension"
Dexafree,"1 mg/ml eye drops,  solution in single - dose container"
Dexamethason  KRKA,20 mg tablets
Dexamethason  KRKA,40 mg tablets
Dexamethason  KRKA,4 mg tablets
Dexamethason  KRKA,8 mg tablets
Dexamethason  KRKA,"0,5 mg tablets"
Dexamethason  Krka,4 mg/ml solution for  injection
Dexamethasone  Adipharm,eye drops susp. 10 ml x 1
Dexamethasone  Sopharma,4 mg/ml solution for  injection
Dexamphenicol,"5 mg/ml + 1 mg/ml eye  drops, solution"
Dexapolcort,"0,28 mg/g cutaneous  spray, suspension"
Dexason,4 mg/ml solution for injection
Dexaven,sol. inj. 4 mg/ml - 1  ml; 2 ml x 10
Dexinal,25 mg film - coated  tablets
Dexketonal,25 mg film - coated  tablets
Dexketoprofen  - Tchaikapharma,50 mg/2 ml solution for  injection or concentrate for solution for infusion
Dexketoprofen  Rompharm,50 mg/2 ml solution for  injection or concetrate for solution for infusion
Dexketoprofen  Sandoz,25 mg film - coated  tablets
Dexmedetomidine Kalceks,100 micrograms/ml  concetrate for solution for infusion
Dexofen,25 mg film - coated  tablets
Dexofen  Inject,50 mg/2 ml solution for  injection/infusion
Dexofen  sachet,25 mg granules for oral  solution
DHC Continus,60 mg modified - release  tablets
DHC Continus,90 mg modified - release  tablets
Diab,80 mg tablets
Diab  MR,30 mg modified - release  tablets
Diabezidum  XL,30 mg prolonged -  release tablets
Diabrezide,tabl. 80 mg x 40
Diafer,50 mg/ml solution for  injection
Dialgin,250 mg powder for oral  solution
Dialgin,500 mg powder for oral  solution
Dialgin,"500 mg/ml oral drops,  solution"
Dialgin,1000 mg powder for oral  solution
Dialgin  Express,500 mg/50 mg powder for  oral solution in sachet
Dialgin  Junior,250 mg powder for oral  solution
Dialgin  Kids,"500 mg/ml oral drops,  solution"
Diane  35,"0,035 mg/2 mg coated  tablets"
Dianeal  PD4 Glucose,"1,36% w/v/13,6 mg/ml solution for peritoneal  dialysis"
Dianeal  PD4 Glucose,"2, 27% w/v/ 22, 7mg/ml solution for  peritoneal dialysis"
Dianeal  PD4 Glucose,"3, 86% w/v/ 38, 6 mg/ml  solution for peritoneal dialysis"
Diaprel  MR,30 mg modified - release  tablets
Diaprel MR,60 mg modified - release  tablets
Diarostad,"2 mg capsules, hard"
Diavobet,"50 mcgms/g + 0,5 mg/g  gel"
Diazepam  Accord,10 mg tablets
Diazepam  Accord,5 mg tablets
Diazepam  Actavis,10 mg tablets
Diazepam  Actavis,5 mg tablets
Diazepam  G. L.,"10 mg/2,5 ml rectal  solution"
Diazepam  G. L.,"5 mg/2,5 ml rectal  solution"
Diazepam  Gerot,"10 mg/2,5 ml rectal  solution"
Diazepam  Gerot,"5 mg/2,5 ml rectal  solution"
Diazepam  Sopharma,sol. inj. 5 mg/ml - 2 ml  x 10; x 100
Dibetix,"0,5 mg tablets"
Dibetix,1 mg tablets
Dibetix,2 mg tablets
Diclac,5% gel
Diclac,1% gel
Diclac,75 mg/3 ml solution for  injection
Diclac,75 ID 75 mg modified -  release tablets
Diclac,150 ID 150 mg modified -  release tablets
Diclac  Max,5 % gel
Dicloabak,"1 mg/ml eye drops,  solution"
Diclobak,"1 mg, eye drops,  solution"
Diclofenac  - Tchaikapharma,50 mg gastro-resistant  tablets
Diclofenac  50 Stada,tabl. gastro-res. 50 mg  x 20; x 50; x 100
Diclofenac  Duo,"75 mg prolonged -  release capsules, hard"
Diclofenac  VP,5% gel
Diclofenac  VP,25 mg / ml solution for  injection
Diclofenac  VP,1 %  gel
Diclofenac  Vramed,gel 1% - 60 g
Dicloflex,1 %  gel
Dicloflex,25 mg/ml solution for  injection
Dicloflex,5% gel
Diclogenta  Adipharm,eye drops sol. - 5 ml
Dicloneurovit,"capsules, hard"
DICLOPRAM,"75 mg/20 mg modified -  release capsules, hard"
Dicloral,"mouthwash 0,074% - 200  ml"
DicloRapid,75 mg gastro - resistant  capsules
Dicynone,500 mg tablets
Dicynone,250 mg/2 ml solution for  injection
Dicynone,"500 mg capsules, hard"
Dienille,"2 mg/0,03 mg film -  coated tablets"
Dienorette,"2 mg/0,03 mg film -  coated tablets"
Diflazon,2 mg/ml solution for  infusion
Diflazon,2 mg/ml solution for  infusion
Diflazon,"50 mg capsules, hard"
Diflazon,"100 mg capsules, hard"
Diflazon,"150 mg capsules, hard"
Diflazon,"200 mg capsules, hard"
Diflucan,"50 mg capsules, hard"
Diflucan,2 mg/ml solution for  infusion
Diflucan,"150 mg capsules, hard"
Diftet,suspension for injection
Diftetkok,suspension for injection
Diftetkok  without preservative,"susp. inj. 0,5 ml x 10;  x 50"
Diglical,80 mg tablets
Diglical  ER,60 mg modified - release  tablets
Digoxin  NIHFI,"tabl. 0,25 mg x 20; x 50"
Digoxin  Richter,tabl. 250 mcg x 50
Digoxin  Sopharma,"0,25 mg/ml solution for  injection/infusion"
Digoxin Sopharma,"0,25 mg tablets"
Digoxin-Richter,250 microgras tablets
Dih  Max,1000 mg film - coated  tablets
Dilacor,"sol. inj. 0,250 mg/2 ml  x 6"
Dilatrend,"12,5 mg tablets"
Dilatrend,25 mg tablets
Dilatrend,"6,25 mg tablets"
Dilceren,10 mg/50 ml solution for  infusion
Dilceren  Pro Infusione,sol. inf. 10 mg/50 ml
Dilizolen,2 mg/ml solution for  infusion
Dilorym,"6,25 mg/7,5 mg film - coated  tablets"
Dilorym,"12,5 mg/5 mg film - coated  tablets"
Dilorym,25 mg/5 mg film - coated  tablets
Dilorym,"25 mg/7,5 mg film - coated  tablets"
Dilorym,"12,5 mg/7,5 mg film - coated  tablets"
Dilorym,"6,25 mg/5 mg film - coated  tablets"
Diltiazem  - Tchaikapharma,60 mg prolonged -  release tablets
Diltiazem  - Tchaikapharma,90 mg prolonged -  release tablets
Diltiazem  90 Retard,tabl. prolong 90 mg x 50
Diltiazem  Actavis,60 mg prolonged -  release tablets
Diltiazem  Actavis,60 mg tablets
Diltiazem  Sopharma,60 mg tablets
Dilzem  25 mg Parenteral,powd. inj. 25 mg x 5 +  solv. 5 ml x 5
Dimenbydrinat  Actavis,50 mg tablets
Dimenhydrinat,tabl. 50 mg x 25; x 30
Dimex,syr. 125 ml
Dinarex,"1,5 mg/ml syrup"
Dioflavon,500 mg film - coated  tablets
Dioket,600 mg tablets
Diosmin  Hasco - Lek,1000 mg film - coated  tablets
Diovan,320 mg film - coated  tablets
Diovan,80 mg film - coated  tablets
Diovan,3 mg/ml oral solution
Diovan,160 mg film - coated  tablets
Diovan,40 mg film - coated  tablets
Dipax,"37,5 mg/325 mg film -  coated tablets"
Dipeptiven,200 mg/ml concentrate  for solution for infusion
Diphereline,"powd. inj. 0,1 mg +  solv. x 7"
Diphereline  S.R.,"11,25 mg powder and  solvent for prolonged - release suspension for injection"
Diphereline  S.R.,"3,75 mg powder and  solvent for prolonged - release suspension for injection"
Dipinal,"10 mg capsules, hard"
Dipinal,"5 mg capsules, hard"
Dipperam,5 mg/80 mg film - coated  tablets
Dipperam,5 mg/160 mg film - coated  tablets
Dipperam,10 mg/160 mg film - coated  tablets
Dipperam  HCT,"10 mg/ 160 mg/ 12,5 mg  film-coated tablets"
Dipperam HCT,10 mg/ 160 mg/ 25 mg  film-coated tablets
Dipperam HCT,"5 mg/ 160 mg/ 12,5 mg  film-coated tablets"
Diprivan,10 mg/ml emulsion for  injection/infusion
Diprivan  1%,emul. inj./inf. 10 mg/ml  - 20 ml x 5 ampules; 50 ml x 1 vial; 20 ml; 50 ml x 1 pre-filled syr.
Diprofos,7 mg/ml suspension for  injection
Diprogenta,"0,5 mg/1 mg/g ointment"
Diprogenta,"0,5 mg/1 mg/g cream"
Diprophos,7 mg/ml suspension for  injection
Diprosalic,"0,5 mg / g + 20 mg /  cutaneous solution"
Diprosalic,oint. 15 g
Diprosalic,"0,5 mg/20 mg/g cutaneous  solution"
Diprosalic,"0,5 mg/30 mg/g ointment"
Diprosone,"0,05% cream"
Diprosone,"0,05% ointment"
Dipyridamol  Actavis,200 mg hard prologed -  release capsules
Dironorm,10 mg/5 mg tablets
Dironorm,20 mg/10 mg tablets
Dironorm,20 mg / 5 mg tablets
Diroton,5 mg tablets
Diroton,10 mg tablets
Diroton,"2,5 mg tablets"
Diroton,20 mg tablets
Discus,solution for injection
Diuretidin,"25 mg/12,5 mg tablets"
Dobutamin  Adimeda,sol. inf. 5 mg/ml - 50  ml x 1
"Docetaxel  ""Ebewe""",10 mg/ml concentrate for  solution for infusion
Docetaxel  Actavis,"20 mg/0,5 ml concentrate  and solvent for solution for infusion"
Docetaxel  Actavis,80 mg/ 2 ml concentrate  and solvent for solution for infusion
Docetaxel  Actavis,20 mg/ml concentrate for  solution for infusion
Docetaxel  AqVida,20 mg/ml concetrate for  solution for infusion
Docetaxel  Bulgermed,20 mg/ml concetrate for  solution for infusion
Docetaxel  Ebewe,10 mg/ml concentrate for  solution for infusion
Docetaxel  HAEMATO,20 mg/ml concetrate for  solution for infusion
Docetaxel  Hospira,10 mg/ml concentrate for  solution for infusion
Docetaxel  Lek,10 mg/ ml concentrate  for solution for infusion
Docetaxel  Mylan,40 mg/ml concentrate and  solvent for solution for infusion
Docetaxel Novamed,20 mg/ml concetrate for  solution for infusion
Docetaxel  Pfizer,10 mg/ml concentrate for  solution for infusion
Docetaxel Teva Generics,20 mg powder and solvent  for concentrate for solution for infusion
Docetaxel Teva Generics,80 mg powder and solvent  for concentrate for solution for infusion
Doloproct,1 mg/40 mg suppositories
Doloproct,1 mg/g + 20 mg/g rectal  cream
DOLOREN,200 mg film - coated  tablets
DOLOREN,400 mg film - coated  tablets
Doloxib,60 mg film - coated tablets
Doloxib,90 mg film - coated  tablets
Doloxib,120 mg film - coated  tablets
Doloxib,30 mg film - coated  tablets
Doltard,30 mg prolonged -  release tablets
Dona,1500 mg powder for oral  solution
Donecept,5 mg film - coated  tablets
Donecept,10 mg film - coated  tablets
Donectil,10 mg orodisp. Tablets
Donepezil  Accord,10 mg film - coated tablets
Donepezil  Accord,5 mg film - coated tablets
Donepezil  LPH,10 mg film - coated  tablets
Donepezil  LPH,5 mg film - coated  tablets
Donepezil  Sandoz,10 mg orodispersible  films
Donepezil  Sandoz,5 mg orodispersible  films
Donepezil  Sanovel,5 mg; 10 mg flim-coated  tablets
Donesyn,10 mg film - coated  tablets
Donesyn,5 mg film - coated  tablets
Donopa,"50%/50% v/v medicinal  gas, compressed"
Dopamin  Admeda,conc. for sol. inf. 20  mg/ml - 10 ml x 5
Dopamin  WZF,40 mg/ml concetrate for  solution for infusion
Dopegyt,250 mg tablets
Dopezal,5 mg film - coated  tablets
Dopezal,10 mg film - coated  tablets
Doporison,100 mg/g ointment
Doppelherz  Energie-Tonikum N,oral sol. - 20 ml; 250  ml; 500 ml; 750 ml; 1 000 ml
Dorera  SR,75 mg/650 mg prolonged -  release tablets
Doreta,"37,5 mg/325 mg film - coated  tablets"
Doreta,75 mg/650 mg film -  coated tablets
Doreta  SR,75 mg/650 mg prolonged -  release tables
Dormicum,"7,5 mg film - coated  tablets"
Dormicum,1 mg/ml solution for  injection
Dormicum,5 mg/ml solution for  injection
Dormikind,tablets
Dormiplant,160 mg/80 mg coated  tablets
Dorsolol,"20 mg/ml + 5 mg/ml eye  drops, solution"
DortiZEX,"20 mg/ml + 5 mg/ml eye  drops, solution"
DorZEX,"20 mg/ml eye drops,  solution"
Dorzolol  SD,"20 mg/ml + 5 mg/ml eye  drops, solution"
Dorzoptol,"20 mg/ml + 5 mg/ml eye  drops, solution"
Dorzotimologen,"2 %/0,5 % eye drops,  solution"
Dostinex,"0,5 mg tablets"
Dotagraf,"0,5 mmol/ml solution for  injection"
Dotagraf,"0,5 mmol/ml solution for  injection"
Dotarem,"0,5 mmol/ml solution for  injection in vials"
Dotarem,"0,5 mmol/ml solution for  in pre - filled syringes"
DOTAREM,"0,5 mmol/ml solution for  injection in vials"
DOTAREM,"0,5 mmol/ml solution for  injection in vials (for multiple use)"
DOTAREM,"0,5 mmol/ml solution for  injection in pre - filled syringes"
Doxazosin  - Tchaikapharma,2 mg tablets
Doxazosin  - Tchaikapharma,4 mg tablets
Doxazosin  Aurobindo,1 mg tablets
Doxazosin  Aurobindo,2 mg tablets
Doxazosin  Aurobindo,4 mg tablets
Doxazozin-Tchaikapharma,"2 mg, 4 mg tablets"
Doxiproct,oint. 40 mg/20 mg - 30 g
Doxiproct,40 mg/20 mg/g ointment
Doxiproct  Plus,oint. 40 mg/20 mg/ 250  mg - 20 g
Doxium,"500 mg capsules, hard"
Doxorubicin  Accord,2 mg/ml concetrate for  solution for infusion
Doxorubicin  ACTAVIS,2mg/ml concentrate for  sol. for infusion
Doxorubicin  Ebewe,2 mg/ml concetrate for  solution for infusion
Doxorubicin  Mylan,2 mg/ml powder for  concentrate for solution for infusion
Doxorubicin  Mylan,2 mg/ml concentrate for  solution for infusion
Doxorubicin  Stada,sol. inj. 2 mg/ml - 5  ml; 25 ml; 75 ml
Doxycyclin Actavis,"100 mg capsules, hard"
Doxycyclin  Stada,100 mg dispersible  tablets
Dr.Theiss  Echinacea forte,"75,6 ml/100 ml oral  drops, solution"
Dretacen,1 000 mg film - coated  tablets
Dretacen,250 mg film - coated  tablets
Dretacen,500 mg film - coated  tablets
Driptane,5 mg tablets
Dro  Spaz,20 mg/ml solution for  injection
Dro  Spaz,40 mg tablets
Dro  Spaz,80 mg tablets
Dro Spaz Complex,400 mg/60 mg/40 mg  powder for oral solution in sachet
Drosetil,"0,02 mg/3 mg film - coated  tablets"
Drosetil,"0,03 mg/3 mg film -  coated tablets x 28"
Drospirenone/Ethinylestradiol  Vale,"21+7 3 mg/0,02 mg film -  coated tablets"
Drospirenone/Ethinylestradiol  Vale,"21+7 3 mg/0,03 mg film -  coated tablets"
Drosunal,50 mg coated tablets
